Empresa,Yhaguy,,,,,,,,,
,,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,ESTADO,SALDO,COSTO,MAYORISTA,DOLARES,MINORISTA,AUTOCENTRO
VAR RCCR 0017.1,CILINDRO RUEDA 709/912,REPUESTOS,VARGA,A,0,"87918,182",120887,"31,812",181331,126288
VAR RCCR 0093.7,CILINDRO RUEDA TRAS.1113 1 3/4 RCCR 0093.7,REPUESTOS,COMPRA LOCAL,A,0,"118184,545",162504,"42,764",243756,243756
VAR RCCR 2322.8,"CILINDRO RUEDA DEL.1113 1 5/8""",REPUESTOS,VARGA,A,0,"118867,373",163443,"43,011",245165,199547
VAR RCCR 2324.4,"CILINDRO RUEDA TRAS.1113 1 3/4""",REPUESTOS,VARGA,A,0,"138091,591",189876,"49,967",284814,292572
VAR RCCR 2423.2,"CILINDRO RUEDA DEL.1313 1 27/32""",REPUESTOS,VARGA,A,0,"155105,3",213270,"56,124",319905,249992
VAR RCCR 2424.0,"CILINDRO RUEDA TRAS.1313 2""",REPUESTOS,VARGA,A,0,"144755,755",199039,"52,379",298559,306824
VAR RCCS 0003.1,COMPRESOR DE AIRE SC 1.600 CC,REPUESTOS,VARGA,A,0,"2827716,364",3730000,"1023,187",5598000,0
VAR RCCS 0010.2,COMPRESOR DE AIRE VOLVO VARGA,REPUESTOS,COMPRA LOCAL,A,0,"2720752,727",3741035,"984,483",5611553,4500800
VAR RCGO 0008.3,VALVULA GOBERN.COMPRESOR AIRE SC/VL,REPUESTOS,VARGA,A,0,"222146,364",305451,"80,382",458177,383127
VAR RCGO 0009.1,VALVULA GOBERN.COMPRESOR AIRE SC/VL,REPUESTOS,VARGA,A,0,"209965,455",288702,"75,974",433053,328020
VAR RCLF 0003.8,FLUIDO FRENO DOT3,REPUESTOS,COMPRA LOCAL,A,0,"16746,705",25790,"6,787",38685,32456
VAR RCLF 0035.0,FLUIDO DE FRENO DOT4,REPUESTOS,COMPRA LOCAL,A,9,"19914,509",30668,"8,071",46002,56700
VAR RCPT 0608.0,PASTILLA DE FRENO MB709,REPUESTOS,COMPRA LOCAL,A,0,"103823,636",181250,"47,697",271875,271875
VAR RCPT 0615.0,PASTILLA FRENO MB915/914/814 L712 ELECTRO LISO,REPUESTOS,VARGA,A,0,"223096,364",306757,"80,726",460136,474368
