Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
YHAGUY BATERIAS S.A.,10.890,Compras  CREDITO,27/7/2017,27/7/2017,11640000,11640000,58348
YHAGUY BATERIAS S.A.,10.891,Compras  CREDITO,27/7/2017,27/7/2017,45388000,45388000,58348
YHAGUY BATERIAS S.A.,10.888,Compras  CREDITO,27/7/2017,27/7/2017,2589600,2589600,58348
YHAGUY BATERIAS S.A.,10.951,Compras  CREDITO,28/7/2017,28/7/2017,1740000,1740000,58348
YHAGUY BATERIAS S.A.,10.940,Compras  CREDITO,28/7/2017,28/7/2017,16992020,16992020,58348
YHAGUY BATERIAS S.A.,11.089,Compras  CREDITO,2/8/2017,2/8/2017,1408000,1408000,58348
YHAGUY BATERIAS S.A.,11.282,Compras  CREDITO,8/8/2017,8/8/2017,28694000,28694000,58348
YHAGUY BATERIAS S.A.,11.303,Compras  CREDITO,9/8/2017,9/8/2017,7251712,7251712,58348
YHAGUY BATERIAS S.A.,11.393,Compras  CREDITO,10/8/2017,10/8/2017,458640,458640,58348
YHAGUY BATERIAS S.A.,11.374,Compras  CREDITO,10/8/2017,10/8/2017,11724800,11724800,58348
YHAGUY BATERIAS S.A.,11.417,Compras  CREDITO,10/8/2017,10/8/2017,3920000,3920000,58348
YHAGUY BATERIAS S.A.,11.468,Compras  CREDITO,11/8/2017,11/8/2017,30444836,30444836,58348
YHAGUY BATERIAS S.A.,11.469,Compras  CREDITO,11/8/2017,11/8/2017,2378272,2378272,58348
YHAGUY BATERIAS S.A.,11.461,Compras  CREDITO,11/8/2017,11/8/2017,37052664,37052664,58348
YHAGUY BATERIAS S.A.,11.462,Compras  CREDITO,11/8/2017,11/8/2017,1520064,1520064,58348
YHAGUY BATERIAS S.A.,11.489,Compras  CREDITO,12/8/2017,12/8/2017,388000,388000,58348
YHAGUY BATERIAS S.A.,11.506,Compras  CREDITO,14/8/2017,14/8/2017,3920000,3920000,58348
YHAGUY BATERIAS S.A.,11.537,Compras  CREDITO,14/8/2017,14/8/2017,343720,343720,58348
YHAGUY BATERIAS S.A.,11.558,Compras  CREDITO,16/8/2017,16/8/2017,13174000,13174000,58348
YHAGUY BATERIAS S.A.,11.603,Compras  CREDITO,17/8/2017,17/8/2017,236000,236000,58348
YHAGUY BATERIAS S.A.,11.706,Compras  CREDITO,21/8/2017,21/8/2017,5959200,5959200,58348
YHAGUY BATERIAS S.A.,11.836,Compras  CREDITO,23/8/2017,23/8/2017,16452000,16452000,58348
YHAGUY BATERIAS S.A.,11.923,Compras  CREDITO,25/8/2017,25/8/2017,57150320,57150320,58348
YHAGUY BATERIAS S.A.,11.924,Compras  CREDITO,25/8/2017,25/8/2017,6754000,6754000,58348
YHAGUY BATERIAS S.A.,11.991,Compras  CREDITO,28/8/2017,28/8/2017,212000,212000,58348
YHAGUY BATERIAS S.A.,12.188,Compras  CREDITO,2/9/2017,2/9/2017,18638050,18638050,58348
YHAGUY BATERIAS S.A.,12.336,Compras  CREDITO,7/9/2017,7/9/2017,277680,277680,58348
YHAGUY BATERIAS S.A.,12.403,Compras  CREDITO,8/9/2017,8/9/2017,4586400,4586400,58348
YHAGUY BATERIAS S.A.,12.408,Compras  CREDITO,8/9/2017,8/9/2017,53820740,53820740,58348
YHAGUY BATERIAS S.A.,12.409,Compras  CREDITO,8/9/2017,8/9/2017,3948640,3948640,58348
YHAGUY BATERIAS S.A.,12.428,Compras  CREDITO,11/9/2017,11/9/2017,7840000,7840000,58348
YHAGUY BATERIAS S.A.,12.601,Compras  CREDITO,15/9/2017,15/9/2017,7160400,7160400,58348
YHAGUY BATERIAS S.A.,12.657,Compras  CREDITO,18/9/2017,18/9/2017,10192000,10192000,58348
YHAGUY BATERIAS S.A.,12.696,Compras  CREDITO,19/9/2017,19/9/2017,5148000,5148000,58348
YHAGUY BATERIAS S.A.,12.782,Compras  CREDITO,21/9/2017,21/9/2017,6530000,6530000,58348
YHAGUY BATERIAS S.A.,12.807,Compras  CREDITO,21/9/2017,21/9/2017,54078684,54078684,58348
YHAGUY BATERIAS S.A.,12.808,Compras  CREDITO,21/9/2017,21/9/2017,5454416,5454416,58348
YHAGUY BATERIAS S.A.,12.975,Compras  CREDITO,27/9/2017,27/9/2017,10771500,10771500,58348
YHAGUY BATERIAS S.A.,13.113,Compras  CREDITO,3/10/2017,3/10/2017,39220690,39220690,58348
YHAGUY BATERIAS S.A.,13.115,Compras  CREDITO,4/10/2017,4/10/2017,144177,144177,58348
YHAGUY BATERIAS S.A.,13.298,Compras  CREDITO,9/10/2017,9/10/2017,267200,267200,58348
YHAGUY BATERIAS S.A.,13.358,Compras  CREDITO,11/10/2017,11/10/2017,12925080,12925080,58348
YHAGUY BATERIAS S.A.,13.515,Compras  CREDITO,16/10/2017,16/10/2017,4375800,4375800,58348
YHAGUY BATERIAS S.A.,13.557,Compras  CREDITO,17/10/2017,17/10/2017,17063472,17063472,58348
